study,replicate,Title,Year,Author Names,Class,Order,Group,Species,MatOff_Same,Treatment Group,Number of Age Classes,B_Source,Linear Model?,DataType,Lab / Field,PAC,PAC_Control,Offspring Sex,Notes,B,BSE,T,Source_T,Post-T,post-se
1,1,Maternal age and lifespan of offspring,1997,"Gavrilov L.A, Gavrilova N.S, Semenova V.G, Evdokushkina G.N, Krut'Ko V.N, Gavrilova A.L, Evdokushkina N.N, Lapshin E.V",Mammalia,Primates,Mammalia-Primates,Homo sapiens,Yes,Table 1Sons,7,3,No,Mean+SE,Human,No,NA,Male,Age of mother taken as midway in age grouping,0.0002,0.0357,26.3,Felsenstein 1971,-0.0645,0.0588
1,2,Maternal age and lifespan of offspring,1997,"Gavrilov L.A, Gavrilova N.S, Semenova V.G, Evdokushkina G.N, Krut'Ko V.N, Gavrilova A.L, Evdokushkina N.N, Lapshin E.V",Mammalia,Primates,Mammalia-Primates,Homo sapiens,Yes,Table 1Daughters,7,3,No,Mean+SE,Human,No,NA,Female,Age of mother taken as midway in age grouping,-0.0769,0.0524,26.3,Felsenstein 1971,-0.265,0.087
1,3,Maternal age and lifespan of offspring,1997,"Gavrilov L.A, Gavrilova N.S, Semenova V.G, Evdokushkina G.N, Krut'Ko V.N, Gavrilova A.L, Evdokushkina N.N, Lapshin E.V",Mammalia,Primates,Mammalia-Primates,Homo sapiens,Yes,Table 2Sons,7,3,No,Mean+SE,Human,No,NA,Male,Age of mother taken as midway in age grouping,-0.0364,0.0549,26.3,Felsenstein 1971,-0.0159,0.0886
1,4,Maternal age and lifespan of offspring,1997,"Gavrilov L.A, Gavrilova N.S, Semenova V.G, Evdokushkina G.N, Krut'Ko V.N, Gavrilova A.L, Evdokushkina N.N, Lapshin E.V",Mammalia,Primates,Mammalia-Primates,Homo sapiens,Yes,Table 2Daughters,7,3,No,Mean+SE,Human,No,NA,Female,Age of mother taken as midway in age grouping,-0.101,0.075,26.3,Felsenstein 1971,-0.3218,0.1195
1,5,Maternal age and lifespan of offspring,1997,"Gavrilov L.A, Gavrilova N.S, Semenova V.G, Evdokushkina G.N, Krut'Ko V.N, Gavrilova A.L, Evdokushkina N.N, Lapshin E.V",Mammalia,Primates,Mammalia-Primates,Homo sapiens,Yes,Table 3Sons,7,3,No,Mean+SE,Human,No,NA,Male,Age of mother taken as midway in age grouping,0.0492,0.0286,26.3,Felsenstein 1971,0.0578,0.0468
1,6,Maternal age and lifespan of offspring,1997,"Gavrilov L.A, Gavrilova N.S, Semenova V.G, Evdokushkina G.N, Krut'Ko V.N, Gavrilova A.L, Evdokushkina N.N, Lapshin E.V",Mammalia,Primates,Mammalia-Primates,Homo sapiens,Yes,Table 3Daughters,7,3,No,Mean+SE,Human,No,NA,Female,Age of mother taken as midway in age grouping,0.0221,0.0338,26.3,Felsenstein 1971,-0.0833,0.0553
2,1,Parental age at conception and offspring longevity,1997,"Gavrilov, L.A.; Gavrilova, N.S",Mammalia,Primates,Mammalia-Primates,Homo sapiens,Yes,Daughters,4,3,No,Mean+SE,Human,No,NA,Female,NA,-0.0268,0.0892,26.3,Felsenstein 1971,-0.1774,0.1441
2,2,Parental age at conception and offspring longevity,1997,"Gavrilov, L.A.; Gavrilova, N.S",Mammalia,Primates,Mammalia-Primates,Homo sapiens,Yes,Sons,4,3,No,Mean+SE,Human,No,NA,Male,NA,-0.0208,0.0675,26.3,Felsenstein 1971,-0.0788,0.1085
3,1,Parental effects on offspring longevity - evidence from 17th to 19th century reproductive histories,2004,Ariane Kemkes-Grottenthaler,Mammalia,Primates,Mammalia-Primates,Homo sapiens,Yes,Sons 50+,4,3,No - KW/MW/Cox,Mean+SE,Human,No,NA,Male,NA,0.013,1.0392,26.3,Felsenstein 1971,0.175,2.5433
3,2,Parental effects on offspring longevity - evidence from 17th to 19th century reproductive histories,2004,Ariane Kemkes-Grottenthaler,Mammalia,Primates,Mammalia-Primates,Homo sapiens,Yes,Daughters 50+,4,3,No - KW/MW/Cox,Mean+SE,Human,No,NA,Female,NA,-0.0157,1.0339,26.3,Felsenstein 1971,-0.0617,2.4544
3,3,Parental effects on offspring longevity - evidence from 17th to 19th century reproductive histories,2004,Ariane Kemkes-Grottenthaler,Mammalia,Primates,Mammalia-Primates,Homo sapiens,Yes,Sons,4,3,No - KW/MW/Cox,Mean+SE,Human,No,NA,Male,NA,-0.1533,0.0752,26.3,Felsenstein 1971,-0.3802,0.1968
3,4,Parental effects on offspring longevity - evidence from 17th to 19th century reproductive histories,2004,Ariane Kemkes-Grottenthaler,Mammalia,Primates,Mammalia-Primates,Homo sapiens,Yes,Daughters,4,3,No - KW/MW/Cox,Mean+SE,Human,No,NA,Female,NA,-0.3624,0.0816,26.3,Felsenstein 1971,-0.6108,0.2022
4,1,Maternal caloric restriction partially rescues the deleterious effects of advanced maternal age on offspring,2014,"Kristin E Gribble, George Jarvis, Martha Bock, David B Mark Welch",Monogononta,Ploima,Monogononta-Ploima,Brachionus manjavacas,Yes,Daughters AL,3,3,No,Means+SE(from boxplots and sample size),Lab,Yes,Experimental,Female,NA,-0.9501,0.1344,LastAge,NA,-0.4003,0.2228
4,2,Maternal caloric restriction partially rescues the deleterious effects of advanced maternal age on offspring,2014,"Kristin E Gribble, George Jarvis, Martha Bock, David B Mark Welch",Monogononta,Ploima,Monogononta-Ploima,Brachionus manjavacas,Yes,Sons AL,3,3,No,Means+SE(from boxplots and sample size),Lab,Yes,Experimental,Male,NA,-0.0837,0.0675,LastAge,NA,0.0004,0.1504
4,3,Maternal caloric restriction partially rescues the deleterious effects of advanced maternal age on offspring,2014,"Kristin E Gribble, George Jarvis, Martha Bock, David B Mark Welch",Monogononta,Ploima,Monogononta-Ploima,Brachionus manjavacas,Yes,Daughters 10%,3,3,No,Means+SE(from boxplots and sample size),Lab,Yes,Experimental,Female,NA,-0.5,0.1441,LastAge,NA,-0.4495,0.2358
